tweet_id,favorites,retweets,date_time
867774946302451713,33330,7231,2017-05-25 16:10:44
867421006826221569,15814,2454,2017-05-24 16:44:18
867072653475098625,0,119,2017-05-23 17:40:04
867051520902168576,31662,7737,2017-05-23 16:16:06
866720684873056260,19704,4741,2017-05-22 18:21:28
866686824827068416,18948,3427,2017-05-22 16:06:55
866450705531457537,120177,34826,2017-05-22 00:28:40
866334964761202691,51637,14216,2017-05-21 16:48:45
866094527597207552,0,8262,2017-05-21 00:53:21
865718153858494464,25219,5550,2017-05-19 23:57:46
865359393868664832,26059,4950,2017-05-19 00:12:11
865006731092295680,27571,7594,2017-05-18 00:50:50
864873206498414592,31790,8625,2017-05-17 16:00:15
864279568663928832,14396,2997,2017-05-16 00:41:21
864197398364647424,29689,8842,2017-05-15 19:14:50
863907417377173506,20337,4085,2017-05-15 00:02:33
863553081350529029,15112,4143,2017-05-14 00:34:33
863471782782697472,0,2419,2017-05-13 19:11:30
863432100342583297,23500,5189,2017-05-13 16:33:49
863427515083354112,2217,96,2017-05-13 16:15:35
863079547188785154,8655,1093,2017-05-12 17:12:53
863062471531167744,8392,2419,2017-05-12 16:05:02
862831371563274240,18949,5072,2017-05-12 00:46:44
862722525377298433,16870,3501,2017-05-11 17:34:13
862457590147678208,20268,4923,2017-05-11 00:01:27
862096992088072192,73617,23097,2017-05-10 00:08:34
861383897657036800,35745,10644,2017-05-08 00:54:59
861288531465048066,17016,4137,2017-05-07 18:36:02
861005113778896900,16560,3781,2017-05-06 23:49:50
860981674716409858,0,2151,2017-05-06 22:16:42
860924035999428608,0,812,2017-05-06 18:27:40
860563773140209665,7451,2151,2017-05-05 18:36:06
860524505164394496,23410,5269,2017-05-05 16:00:04
860276583193509888,18167,3467,2017-05-04 23:34:55
860184849394610176,16542,5846,2017-05-04 17:30:24
860177593139703809,0,30838,2017-05-04 17:01:34
859924526012018688,19413,4073,2017-05-04 00:15:58
859851578198683649,15307,3510,2017-05-03 19:26:06
859607811541651456,18463,1570,2017-05-03 03:17:27
859196978902773760,89356,30230,2017-05-02 00:04:57
